repo_name,intent_type,chunks_assembled,tokens_used,budget_fill_pct,time_ms
pallets/jinja,feature_dev,1,117,1.4625000000000001,140
pallets/jinja,bug_fix,6,1212,15.15,378
pallets/jinja,refactor,1,176,2.1999999999999997,157
pallets/jinja,analysis,3,420,5.25,227
falconry/falcon,feature_dev,2,276,3.45,189
falconry/falcon,bug_fix,6,1014,12.675,400
falconry/falcon,refactor,1,127,1.5875,140
falconry/falcon,analysis,3,675,8.4375,243
tornadoweb/tornado,feature_dev,5,1170,14.625,349
tornadoweb/tornado,bug_fix,1,104,1.3,151
tornadoweb/tornado,refactor,4,664,8.3,309
tornadoweb/tornado,analysis,1,162,2.025,149
psf/requests,feature_dev,4,860,10.75,285
psf/requests,bug_fix,1,159,1.9875,174
psf/requests,refactor,4,616,7.7,303
psf/requests,analysis,4,616,7.7,285
pallets/flask,feature_dev,6,1134,14.174999999999999,408
pallets/flask,bug_fix,7,1176,14.7,464
pallets/flask,refactor,4,780,9.75,278
pallets/flask,analysis,7,861,10.7625,444
pyramid/pyramid,feature_dev,6,1008,12.6,396
pyramid/pyramid,bug_fix,1,168,2.1,168
pyramid/pyramid,refactor,5,515,6.4375,353
pyramid/pyramid,analysis,2,458,5.7250000000000005,178
bottlepy/bottle,feature_dev,3,486,6.075,258
bottlepy/bottle,bug_fix,5,515,6.4375,339
bottlepy/bottle,refactor,5,830,10.375,372
bottlepy/bottle,analysis,1,166,2.075,162
django/django,feature_dev,5,510,6.375,361
django/django,bug_fix,8,1520,19.0,511
django/django,refactor,11,1485,18.5625,622
django/django,analysis,6,1110,13.875000000000002,385
scikit-learn/scikit-learn,feature_dev,5,1200,15.0,371
scikit-learn/scikit-learn,bug_fix,4,836,10.45,315
scikit-learn/scikit-learn,refactor,9,2169,27.1125,545
scikit-learn/scikit-learn,analysis,8,2000,25.0,521
horovod/horovod,feature_dev,5,550,6.875000000000001,328
horovod/horovod,bug_fix,5,755,9.4375,379
horovod/horovod,refactor,5,875,10.9375,360
horovod/horovod,analysis,3,435,5.4375,247
NVIDIA/apex,feature_dev,1,136,1.7000000000000002,169
NVIDIA/apex,bug_fix,7,917,11.4625,475
NVIDIA/apex,refactor,2,492,6.15,197
NVIDIA/apex,analysis,6,1068,13.350000000000001,419
opencv/opencv-python,feature_dev,1,243,3.0375,157
opencv/opencv-python,bug_fix,6,1002,12.525,371
opencv/opencv-python,refactor,4,460,5.75,309
opencv/opencv-python,analysis,1,172,2.15,154
openai/gpt-2,feature_dev,6,918,11.475,385
openai/gpt-2,bug_fix,2,490,6.125,221
openai/gpt-2,refactor,1,217,2.7125,141
openai/gpt-2,analysis,1,117,1.4625000000000001,136
numpy/numpy,feature_dev,17,3298,41.225,934
numpy/numpy,bug_fix,16,2896,36.199999999999996,898
numpy/numpy,refactor,18,3960,49.5,985
numpy/numpy,analysis,22,4796,59.95,1201
pandas-dev/pandas,feature_dev,21,4305,53.8125,1168
pandas-dev/pandas,bug_fix,23,3749,46.862500000000004,1280
pandas-dev/pandas,refactor,26,4472,55.900000000000006,1378
pandas-dev/pandas,analysis,26,3016,37.7,1412
pydantic/pydantic,feature_dev,11,1782,22.275,633
pydantic/pydantic,bug_fix,13,2886,36.075,779
pydantic/pydantic,refactor,10,1470,18.375,625
pydantic/pydantic,analysis,9,1971,24.637500000000003,529
python-attrs/attrs,feature_dev,1,140,1.7500000000000002,173
python-attrs/attrs,bug_fix,5,805,10.0625,342
python-attrs/attrs,refactor,1,104,1.3,167
python-attrs/attrs,analysis,2,406,5.075,191
sqlalchemy/sqlalchemy,feature_dev,6,1266,15.825,370
sqlalchemy/sqlalchemy,bug_fix,10,1200,15.0,600
sqlalchemy/sqlalchemy,refactor,10,1220,15.25,605
sqlalchemy/sqlalchemy,analysis,10,2110,26.375,574
pallets/markupsafe,feature_dev,3,582,7.2749999999999995,242
pallets/markupsafe,bug_fix,2,204,2.55,174
pallets/markupsafe,refactor,1,194,2.4250000000000003,138
pallets/markupsafe,analysis,1,204,2.55,130
twisted/twisted,feature_dev,8,832,10.4,523
twisted/twisted,bug_fix,8,872,10.9,503
twisted/twisted,refactor,11,1342,16.775000000000002,671
twisted/twisted,analysis,4,792,9.9,309
pallets/click,feature_dev,5,1135,14.1875,320
pallets/click,bug_fix,1,156,1.95,136
pallets/click,refactor,1,104,1.3,136
pallets/click,analysis,2,208,2.6,218
dbcli/mycli,feature_dev,1,105,1.3125,155
dbcli/mycli,bug_fix,1,162,2.025,179
dbcli/mycli,refactor,1,152,1.9,124
dbcli/mycli,analysis,1,121,1.5125,146
prompt-toolkit/python-prompt-toolkit,feature_dev,5,1200,15.0,366
prompt-toolkit/python-prompt-toolkit,bug_fix,7,1071,13.3875,428
prompt-toolkit/python-prompt-toolkit,refactor,3,345,4.3125,245
prompt-toolkit/python-prompt-toolkit,analysis,7,1309,16.3625,456
asottile/pre-commit,feature_dev,1,164,2.0500000000000003,121
asottile/pre-commit,bug_fix,7,1491,18.637500000000003,427
asottile/pre-commit,refactor,1,217,2.7125,123
asottile/pre-commit,analysis,1,245,3.0625,174
dbcli/pgcli,feature_dev,1,112,1.4000000000000001,168
dbcli/pgcli,bug_fix,3,306,3.8249999999999997,276
dbcli/pgcli,refactor,1,212,2.65,157
dbcli/pgcli,analysis,3,357,4.4624999999999995,244
click-contrib/click-shell,feature_dev,6,1032,12.9,379
click-contrib/click-shell,bug_fix,1,181,2.2624999999999997,156
click-contrib/click-shell,refactor,6,1314,16.425,416
click-contrib/click-shell,analysis,5,720,9.0,337
willmcgugan/rich,feature_dev,1,152,1.9,131
willmcgugan/rich,bug_fix,1,193,2.4125,178
willmcgugan/rich,refactor,2,370,4.625,228
willmcgugan/rich,analysis,4,504,6.3,272
charliermarsh/ruff,feature_dev,4,956,11.95,276
charliermarsh/ruff,bug_fix,3,615,7.6875,273
charliermarsh/ruff,refactor,4,608,7.6,305
charliermarsh/ruff,analysis,2,294,3.675,226
PyCQA/black,feature_dev,3,681,8.512500000000001,252
PyCQA/black,bug_fix,1,246,3.075,139
PyCQA/black,refactor,1,164,2.0500000000000003,146
PyCQA/black,analysis,1,222,2.775,139
getpelican/pelican,feature_dev,6,1188,14.85,395
getpelican/pelican,bug_fix,1,245,3.0625,166
getpelican/pelican,refactor,1,104,1.3,149
getpelican/pelican,analysis,4,520,6.5,321
docker/docker-py,feature_dev,1,115,1.4375,135
docker/docker-py,bug_fix,1,115,1.4375,179
docker/docker-py,refactor,1,121,1.5125,135
docker/docker-py,analysis,1,160,2.0,177
hashicorp/terraform,feature_dev,16,1984,24.8,872
hashicorp/terraform,bug_fix,14,1400,17.5,784
hashicorp/terraform,refactor,12,1824,22.8,706
hashicorp/terraform,analysis,15,1845,23.0625,828
cloudify-cosmo/cloudify-common,feature_dev,1,197,2.4625,151
cloudify-cosmo/cloudify-common,bug_fix,1,136,1.7000000000000002,175
cloudify-cosmo/cloudify-common,refactor,6,1260,15.75,400
cloudify-cosmo/cloudify-common,analysis,5,730,9.125,345
python-docker/docker,feature_dev,2,390,4.875,212
python-docker/docker,bug_fix,1,121,1.5125,179
python-docker/docker,refactor,6,1290,16.125,429
python-docker/docker,analysis,5,1155,14.4375,371
openstack/nova,feature_dev,15,3720,46.5,842
openstack/nova,bug_fix,17,3026,37.824999999999996,939
openstack/nova,refactor,13,1768,22.1,760
openstack/nova,analysis,10,1050,13.125,594
cloud-custodian/cloud-custodian,feature_dev,6,1194,14.924999999999999,373
cloud-custodian/cloud-custodian,bug_fix,10,1120,14.000000000000002,617
cloud-custodian/cloud-custodian,refactor,8,1520,19.0,525
cloud-custodian/cloud-custodian,analysis,7,714,8.924999999999999,437
ansible/ansible,feature_dev,37,5328,66.60000000000001,1965
ansible/ansible,bug_fix,33,3465,43.3125,1758
ansible/ansible,refactor,39,9438,117.97500000000001,2065
ansible/ansible,analysis,33,6336,79.2,1752
pypa/wheel,feature_dev,3,618,7.725,276
pypa/wheel,bug_fix,5,1040,13.0,375
pypa/wheel,refactor,4,840,10.5,304
pypa/wheel,analysis,3,576,7.199999999999999,258
pypa/setuptools,feature_dev,6,726,9.075,420
pypa/setuptools,bug_fix,1,162,2.025,151
pypa/setuptools,refactor,1,190,2.375,178
pypa/setuptools,analysis,1,216,2.7,145
python-poetry/poetry,feature_dev,5,1075,13.4375,376
python-poetry/poetry,bug_fix,4,424,5.3,300
python-poetry/poetry,refactor,1,135,1.6875,121
python-poetry/poetry,analysis,4,420,5.25,290
pypa/pip,feature_dev,1,204,2.55,139
pypa/pip,bug_fix,1,166,2.075,136
pypa/pip,refactor,1,211,2.6374999999999997,144
pypa/pip,analysis,1,239,2.9875,171
dbt-labs/dbt-core,feature_dev,9,2034,25.424999999999997,544
dbt-labs/dbt-core,bug_fix,4,828,10.35,293
dbt-labs/dbt-core,refactor,5,920,11.5,352
dbt-labs/dbt-core,analysis,5,755,9.4375,360
great-expectations/great_expectations,feature_dev,11,1375,17.1875,652
great-expectations/great_expectations,bug_fix,13,1573,19.662499999999998,746
great-expectations/great_expectations,refactor,15,3450,43.125,835
great-expectations/great_expectations,analysis,15,2400,30.0,873
PyCQA/pylint,feature_dev,9,1476,18.45,534
PyCQA/pylint,bug_fix,10,2390,29.875,605
PyCQA/pylint,refactor,6,1176,14.7,423
PyCQA/pylint,analysis,9,1296,16.2,543
PyCQA/flake8,feature_dev,1,218,2.725,153
PyCQA/flake8,bug_fix,1,151,1.8875,141
PyCQA/flake8,refactor,1,139,1.7375000000000003,152
PyCQA/flake8,analysis,1,247,3.0875,151
